#t x y z vx vy vz
6.50 71.47 29.94 68.13 -30.06 -156.05 -118.93
6.60 67.03 13.91 54.96 -58.76 -164.51 -144.61
6.70 59.19 -2.62 39.03 -98.07 -166.21 -173.85
6.80 46.59 -18.46 20.12 -153.87 -150.45 -204.33
6.90 27.59 -30.53 -1.10 -226.20 -91.10 -220.08
7.00 3.12 -34.14 -20.71 -263.18 19.01 -172.24
7.10 -21.54 -28.03 -34.04 -230.04 103.12 -94.31
7.20 -41.72 -15.61 -40.18 -173.52 145.21 -28.39
7.30 -56.20 -0.32 -40.54 -116.15 160.76 21.04
7.40 -65.18 15.70 -36.64 -63.35 159.66 57.03
7.50 -69.15 31.03 -29.68 -16.12 146.88 82.22
7.60 -68.68 44.63 -20.65 25.56 125.07 98.32
7.70 -64.31 55.67 -10.42 61.87 95.72 106.36
7.80 -56.56 63.43 0.24 92.96 59.56 106.83
7.90 -45.98 67.25 10.53 118.70 16.83 98.87
8.00 -33.11 66.46 19.60 138.73 -32.78 82.65
8.10 -18.57 60.30 26.56 152.10 -90.40 56.46
8.20 -3.18 47.88 30.19 155.75 -157.93 16.16
8.30 11.57 28.18 28.59 139.17 -236.15 -48.11
8.40 21.86 1.32 18.59 66.68 -301.02 -151.88
8.50 22.02 -25.43 0.11 -63.53 -234.02 -217.74
8.60 13.41 -44.00 -20.01 -108.64 -137.22 -184.72
8.70 2.27 -54.28 -36.35 -114.17 -68.52 -142.14
8.80 -8.76 -58.55 -48.53 -106.36 -16.76 -101.29
8.90 -18.68 -58.10 -56.69 -92.22 25.64 -62.07
9.00 -26.98 -53.69 -60.95 -73.74 62.59 -23.09
9.10 -33.25 -45.78 -61.27 -51.69 95.59 16.63
9.20 -37.14 -34.78 -57.54 -25.98 124.50 58.03
9.30 -38.12 -21.11 -49.45 6.29 148.88 103.85
9.40 -35.20 -5.40 -36.32 52.18 165.24 158.67
9.50 -26.18 10.62 -17.03 128.27 155.28 227.20
9.60 -7.18 19.95 7.84 251.72 31.36 270.09
9.70 16.23 17.41 28.89 216.43 -82.15 150.87
9.80 34.65 7.36 39.71 151.99 -118.97 65.60
9.90 46.92 -5.01 43.24 93.40 -128.45 5.09
10.00 53.64 -17.60 41.46 40.87 -123.36 -40.77
10.10 55.33 -29.10 35.62 -6.99 -106.61 -76.04
